,Sepal.Length,Sepal.Width,Types
0,5.1,3.5,0
1,4.9,3,0
2,4.7,3.2,0
3,4.6,3.1,0
4,5,3.6,0
5,5.4,3.9,0
6,4.6,3.4,0
7,5,3.4,0
8,4.4,2.9,0
9,4.9,3.1,0
10,5.4,3.7,0
11,4.8,3.4,0
12,4.8,3,0
13,4.3,3,0
14,5.8,4,0
15,5.7,4.4,0
16,5.4,3.9,0
17,5.1,3.5,0
18,5.7,3.8,0
19,5.1,3.8,0
20,5.4,3.4,0
21,5.1,3.7,0
22,4.6,3.6,0
23,5.1,3.3,0
24,4.8,3.4,0
25,5,3,0
26,5,3.4,0
27,5.2,3.5,0
28,5.2,3.4,0
29,4.7,3.2,0
30,4.8,3.1,0
31,5.4,3.4,0
32,5.2,4.1,0
33,5.5,4.2,0
34,4.9,3.1,0
35,5,3.2,0
36,5.5,3.5,0
37,4.9,3.6,0
38,4.4,3,0
39,5.1,3.4,0
40,5,2,1
41,5.9,3,1
42,6,2.2,1
43,6.1,2.9,1
44,5.6,2.9,1
45,6.7,3.1,1
46,5.6,3,1
47,5.8,2.7,1
48,6.2,2.2,1
49,5.6,2.5,1
50,5.9,3.2,1
51,6.1,2.8,1
52,6.3,2.5,1
53,6.1,2.8,1
54,6.4,2.9,1
55,6.6,3,1
56,6.8,2.8,1
57,6.7,3,1
58,6,2.9,1
59,5.7,2.6,1
60,5.5,2.4,1
61,5.5,2.4,1
62,5.8,2.7,1
63,6,2.7,1
64,5.4,3,1
65,6,3.4,1
66,6.7,3.1,1
67,6.3,2.3,1
68,5.6,3,1
69,5.5,2.5,1
70,5.5,2.6,1
71,6.1,3,1
72,5.8,2.6,1
73,5,2.3,1
74,5.6,2.7,1
75,5.7,3,1
76,5.7,2.9,1
77,6.2,2.9,1
78,5.1,2.5,1
79,5.7,2.8,1
