,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Types
0,5.1,3.5,1.4,0.2,0
1,4.9,3,1.4,0.2,0
2,4.7,3.2,1.3,0.2,0
3,4.6,3.1,1.5,0.2,0
4,5,3.6,1.4,0.2,0
5,5.4,3.9,1.7,0.4,0
6,4.6,3.4,1.4,0.3,0
7,5,3.4,1.5,0.2,0
8,4.4,2.9,1.4,0.2,0
9,4.9,3.1,1.5,0.1,0
10,5.4,3.7,1.5,0.2,0
11,4.8,3.4,1.6,0.2,0
12,4.8,3,1.4,0.1,0
13,4.3,3,1.1,0.1,0
14,5.8,4,1.2,0.2,0
15,5.7,4.4,1.5,0.4,0
16,5.4,3.9,1.3,0.4,0
17,5.1,3.5,1.4,0.3,0
18,5.7,3.8,1.7,0.3,0
19,5.1,3.8,1.5,0.3,0
20,5.4,3.4,1.7,0.2,0
21,5.1,3.7,1.5,0.4,0
22,4.6,3.6,1,0.2,0
23,5.1,3.3,1.7,0.5,0
24,4.8,3.4,1.9,0.2,0
25,5,3,1.6,0.2,0
26,5,3.4,1.6,0.4,0
27,5.2,3.5,1.5,0.2,0
28,5.2,3.4,1.4,0.2,0
29,4.7,3.2,1.6,0.2,0
30,4.8,3.1,1.6,0.2,0
31,5.4,3.4,1.5,0.4,0
32,5.2,4.1,1.5,0.1,0
33,5.5,4.2,1.4,0.2,0
34,4.9,3.1,1.5,0.2,0
35,5,3.2,1.2,0.2,0
36,5.5,3.5,1.3,0.2,0
37,4.9,3.6,1.4,0.1,0
38,4.4,3,1.3,0.2,0
39,5.1,3.4,1.5,0.2,0
40,5.5,2.3,4,1.3,1
41,6.5,2.8,4.6,1.5,1
42,5.7,2.8,4.5,1.3,1
43,6.3,3.3,4.7,1.6,1
44,4.9,2.4,3.3,1,1
45,6.6,2.9,4.6,1.3,1
46,5.2,2.7,3.9,1.4,1
47,5,2,3.5,1,1
48,5.9,3,4.2,1.5,1
49,6,2.2,4,1,1
50,6.1,2.9,4.7,1.4,1
51,5.6,2.9,3.6,1.3,1
52,6.7,3.1,4.4,1.4,1
53,5.6,3,4.5,1.5,1
54,5.8,2.7,4.1,1,1
55,6.2,2.2,4.5,1.5,1
56,5.6,2.5,3.9,1.1,1
57,5.9,3.2,4.8,1.8,1
58,6.1,2.8,4,1.3,1
59,6.3,2.5,4.9,1.5,1
60,6.1,2.8,4.7,1.2,1
61,6.4,2.9,4.3,1.3,1
62,6.6,3,4.4,1.4,1
63,6.8,2.8,4.8,1.4,1
64,6.7,3,5,1.7,1
65,6,2.9,4.5,1.5,1
66,5.7,2.6,3.5,1,1
67,5.5,2.4,3.8,1.1,1
68,5.5,2.4,3.7,1,1
69,5.8,2.7,3.9,1.2,1
70,6,2.7,5.1,1.6,1
71,5.4,3,4.5,1.5,1
72,6,3.4,4.5,1.6,1
73,6.7,3.1,4.7,1.5,1
74,6.3,2.3,4.4,1.3,1
75,5.6,3,4.1,1.3,1
76,5.5,2.5,4,1.3,1
77,5.5,2.6,4.4,1.2,1
78,6.1,3,4.6,1.4,1
79,5.8,2.6,4,1.2,1
80,6.5,3.2,5.1,2,2
81,6.4,2.7,5.3,1.9,2
82,6.8,3,5.5,2.1,2
83,5.7,2.5,5,2,2
84,5.8,2.8,5.1,2.4,2
85,6.4,3.2,5.3,2.3,2
86,6.5,3,5.5,1.8,2
87,7.7,3.8,6.7,2.2,2
88,7.7,2.6,6.9,2.3,2
89,6,2.2,5,1.5,2
90,6.9,3.2,5.7,2.3,2
91,5.6,2.8,4.9,2,2
92,7.7,2.8,6.7,2,2
93,6.3,2.7,4.9,1.8,2
94,6.7,3.3,5.7,2.1,2
95,7.2,3.2,6,1.8,2
96,6.2,2.8,4.8,1.8,2
97,6.1,3,4.9,1.8,2
98,6.4,2.8,5.6,2.1,2
99,7.2,3,5.8,1.6,2
100,7.4,2.8,6.1,1.9,2
101,7.9,3.8,6.4,2,2
102,6.4,2.8,5.6,2.2,2
103,6.3,2.8,5.1,1.5,2
104,6.1,2.6,5.6,1.4,2
105,7.7,3,6.1,2.3,2
106,6.3,3.4,5.6,2.4,2
107,6.4,3.1,5.5,1.8,2
108,6,3,4.8,1.8,2
109,6.9,3.1,5.4,2.1,2
110,6.7,3.1,5.6,2.4,2
111,6.9,3.1,5.1,2.3,2
112,5.8,2.7,5.1,1.9,2
113,6.8,3.2,5.9,2.3,2
114,6.7,3.3,5.7,2.5,2
115,6.7,3,5.2,2.3,2
116,6.3,2.5,5,1.9,2
117,6.5,3,5.2,2,2
118,6.2,3.4,5.4,2.3,2
119,5.9,3,5.1,1.8,2
